,Id,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontagena,MasVnrAreana,GarageYrBltna,LotFrontage_na,MasVnrArea_na,GarageYrBlt_na
0,530,12.209187788430318,20.0,3.0,4.0943445622221,10.394151284478164,1.0,2.0,1.0,1.0,1.0,4.0,0.0,16.0,2.0,1.0,3.0,3.0,6.0,3.0,1957.0,1975.0,2.0,0.0,1.0,5.0,1.0,0.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,1219.0,4.0,0.0,816.0,2035.0,2.0,2.0,1.0,3.0,7.83002808253384,0.0,0.0,7.83002808253384,1.0,0.0,3.0,0.0,4.0,2.0,1.0,9.000000000000002,0.0,2.0,3.0,4.0,1975.0,2.0,2.0,484.0,2.0,3.0,2.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.000000000000001,2007.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,492,11.79810440720389,50.0,3.0,4.3694478524670215,9.157993891603972,1.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,3.0,1.0,6.0,7.0,1941.0,1950.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,403.0,3.0,165.00000000000003,238.0,806.0,2.0,2.0,1.0,2.0,6.86484777797086,620.0,0.0,7.363913501405819,1.0,0.0,1.0,0.0,3.0,1.0,0.0,5.000000000000001,4.0,2.0,3.0,4.0,1941.0,1.0,1.0,240.0,2.0,3.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,8.000000000000002,2006.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,460,11.608235644774552,50.0,3.0,4.0943445622221,8.85580599253656,1.0,2.0,1.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,3.0,1.0,5.0,4.0,1950.0,1950.0,0.0,0.0,3.0,2.0,1.0,161.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,185.0,4.0,0.0,524.0,709.0,2.0,2.0,1.0,3.0,6.88653164253051,224.0,0.0,7.0925737159746784,1.0,0.0,1.0,0.0,3.0,1.0,2.0,5.000000000000001,4.0,1.0,3.0,2.0,1950.0,1.0,1.0,352.0,2.0,3.0,2.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,7.000000000000002,2009.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
3,280,12.165250651009918,60.0,3.0,4.418840607796598,9.210840247017831,1.0,2.0,0.0,1.0,1.0,0.0,0.0,17.0,2.0,1.0,3.0,5.0,7.0,5.0,1977.0,1977.0,2.0,0.0,7.0,7.0,2.0,299.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,392.0,4.0,0.0,768.0,1160.0,2.0,4.0,1.0,3.0,7.052721049232323,866.0,0.0,7.611842399580417,0.0,0.0,2.0,1.0,4.0,1.0,1.0,8.000000000000002,4.0,1.0,3.0,4.0,1977.0,3.0,2.0,505.0,2.0,3.0,2.0,288.00000000000006,117.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.000000000000001,2008.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,656,11.385092093460344,160.0,1.0,3.044522437723423,7.426549072397303,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,5.0,6.0,5.0,1971.0,1971.0,0.0,0.0,6.0,5.0,2.0,381.0,1.0,3.0,2.0,2.0,3.0,1.0,5.0,0.0,4.0,0.0,525.0,525.0,2.0,2.0,1.0,3.0,6.263398262591624,567.0,0.0,6.9957661563048505,0.0,0.0,1.0,1.0,3.0,1.0,1.0,6.000000000000002,4.0,0.0,1.0,2.0,1971.0,1.0,1.0,264.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.000000000000001,2010.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1014,11.350406535472453,30.0,1.0,4.0943445622221,8.881836305004144,1.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,3.0,3.0,5.0,4.0,1910.0,2006.0,2.0,0.0,3.0,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,247.0,3.0,465.0000000000001,310.0,1022.0,1.0,2.0,0.0,3.0,6.92951677076365,0.0,0.0,6.92951677076365,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.000000000000001,0.0,0.0,1.0,2.0,1956.0,1.0,1.0,280.0,2.0,3.0,2.0,0.0,30.0,226.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.000000000000002,2009.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1404,12.552926520261092,20.0,3.0,3.8918202981106265,9.632728147280254,1.0,2.0,1.0,1.0,1.0,4.0,0.0,18.0,3.0,1.0,3.0,3.0,8.0,5.0,2007.0,2007.0,0.0,0.0,10.0,10.0,3.0,84.0,2.0,3.0,4.0,3.0,3.0,4.0,6.0,929.0,4.0,0.0,556.0,1485.0,2.0,4.0,1.0,3.0,7.288927694521257,0.0,0.0,7.288927694521257,1.0,0.0,2.0,0.0,3.0,1.0,2.0,6.000000000000002,4.0,0.0,1.0,4.0,2007.0,1.0,3.0,754.0,2.0,3.0,2.0,168.00000000000003,160.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,8.000000000000002,2007.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,602,11.856515169360305,50.0,1.0,3.912023005428146,9.104979856318355,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,6.0,1937.0,1950.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,5.0,0.0,4.0,0.0,780.0,780.0,2.0,2.0,1.0,3.0,6.659293919683638,595.0,0.0,7.226209010100671,0.0,0.0,1.0,1.0,3.0,1.0,2.0,6.000000000000002,4.0,1.0,4.0,2.0,1979.0,1.0,1.0,544.0,2.0,3.0,1.0,0.0,162.0,0.0,0.0,126.0,0.0,0.0,3.0,2.0,0.0,12.000000000000004,2007.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1183,13.521139497361697,60.0,3.0,5.075173815233827,9.656499466411901,1.0,2.0,1.0,1.0,1.0,2.0,0.0,22.0,2.0,1.0,3.0,5.0,10.0,5.0,1996.0,1996.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,3.0,4.0,4.0,3.0,3.0,6.0,2096.0,4.0,0.0,300.0,2396.0,2.0,4.0,1.0,3.0,7.787796878181171,2065.0,0.0,8.406485069431817,1.0,0.0,3.0,1.0,4.0,1.0,3.0,10.000000000000002,4.0,2.0,3.0,4.0,1996.0,3.0,3.0,813.0,2.0,3.0,2.0,171.00000000000003,78.0,0.0,0.0,0.0,555.0,1.0,2.0,2.0,0.0,7.000000000000002,2007.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,688,11.910358401381128,160.0,4.0,4.0943445622221,8.537975730598765,1.0,2.0,3.0,1.0,1.0,1.0,0.0,18.0,2.0,1.0,4.0,5.0,7.0,5.0,2004.0,2004.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,3.0,4.0,3.0,3.0,1.0,6.0,239.0,4.0,0.0,312.0,551.0,2.0,4.0,1.0,3.0,6.311734809152915,551.0,0.0,7.004881989712859,0.0,0.0,2.0,1.0,2.0,1.0,2.0,4.000000000000001,4.0,0.0,1.0,2.0,2004.0,1.0,2.0,480.0,2.0,3.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.000000000000001,2007.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
10,1318,12.249610947544657,120.0,4.0,3.8501476017100584,8.349957272040323,1.0,1.0,0.0,1.0,1.0,2.0,0.0,18.0,2.0,1.0,4.0,3.0,7.0,5.0,2006.0,2007.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,1.0,5.0,0.0,4.0,0.0,1352.0,1352.0,2.0,4.0,1.0,3.0,7.20934025660291,0.0,0.0,7.20934025660291,0.0,0.0,2.0,0.0,2.0,1.0,2.0,5.000000000000001,4.0,1.0,4.0,4.0,2006.0,2.0,2.0,466.0,2.0,3.0,2.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.000000000000001,2007.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1004,11.827042533619087,90.0,3.0,4.0943445622221,9.35010231435134,1.0,2.0,1.0,1.0,1.0,2.0,0.0,12.0,1.0,0.0,1.0,3.0,5.0,6.0,1976.0,1976.0,0.0,0.0,10.0,10.0,2.0,164.0,1.0,3.0,2.0,2.0,3.0,1.0,5.0,0.0,4.0,0.0,1680.0,1680.0,2.0,1.0,1.0,3.0,7.426549072397305,0.0,0.0,7.426549072397305,0.0,0.0,2.0,0.0,4.0,2.0,1.0,8.000000000000002,4.0,0.0,1.0,2.0,1976.0,1.0,2.0,528.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.000000000000002,2007.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
12,1301,12.323855681186558,60.0,3.0,4.0943445622221,9.283776690049363,1.0,2.0,1.0,1.0,1.0,4.0,0.0,13.0,2.0,1.0,3.0,5.0,7.0,5.0,1999.0,1999.0,0.0,0.0,10.0,10.0,0.0,344.0,2.0,3.0,4.0,3.0,3.0,1.0,6.0,694.0,4.0,0.0,284.0,978.0,2.0,4.0,1.0,3.0,6.912742820493176,978.0,0.0,7.592366128519796,0.0,0.0,2.0,1.0,3.0,1.0,2.0,9.000000000000002,4.0,1.0,3.0,4.0,1999.0,3.0,2.0,490.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.000000000000001,2009.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
13,1393,11.719939634354555,85.0,3.0,4.219507705176107,8.966738978759574,1.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,1.0,3.0,0.0,5.0,5.0,1967.0,1967.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,769.0,4.0,0.0,95.0,864.0,2.0,2.0,1.0,3.0,6.802394763324311,0.0,0.0,6.802394763324311,1.0,0.0,1.0,0.0,3.0,1.0,1.0,6.000000000000002,4.0,1.0,0.0,4.0,1967.0,2.0,1.0,288.0,2.0,3.0,2.0,175.00000000000003,144.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,12.000000000000004,2006.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1015,11.688558033613386,20.0,3.0,4.0943445622221,9.364262454248438,1.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,3.0,3.0,6.0,5.0,1948.0,1950.0,0.0,0.0,3.0,2.0,2.0,206.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,336.0,4.0,0.0,746.0,1082.0,2.0,2.0,1.0,3.0,6.9865664594064265,0.0,0.0,6.9865664594064265,0.0,0.0,1.0,0.0,2.0,1.0,1.0,5.000000000000001,4.0,1.0,4.0,2.0,1948.0,1.0,1.0,240.0,2.0,3.0,2.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,11.000000000000002,2007.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
